"","smokes","sex","friends","too_much_alkohol","martial_status","doing_sports","weight","income","goes_to_church","goes_to_cinema","goes_to_restaurant","drugs","law_breaking","job","class","age","education_level","unstable_income","strenuous_work","overloaded_at_work","unfair_work","income_stressful","hedonism"
"51","0","male","_small","_no","_married","_no","_overweight","_4th_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_no","_yes","_yes","_no","_no","_no"
"52","0","male","_medium","_no","_married","_no","obesity","_4th_quantile","_yes","_no","_yes","_no","_no","_yes"," village","_below_40","_middle","_yes","_yes","_no","_no","_no","_no"
"53","0","female","_medium","_no","_married","_no","_normal_weight","_3rd_quantile","_yes","_no","_no","_no","_no","_no"," village","_below_40","_middle","_yes","_no","_no","_no","_no","_no"
"54","0","female","_small","_no","_married","_no","_overweight","_1st_quantile","_yes","_no","_no","_no","_no","_yes"," village","_between_40_60","_middle","_no","_yes","_yes","_no","_no","_no"
"136","1","male","_small","_no","_married","_no","_normal_weight","_1st_quantile","_no","_no","_no","_no","_no","_no"," village","_above_60","_Primary","_yes","_yes","_yes","_yes","_yes","_yes"
"137","0","female","_small","_no","_married","_no","obesity","_1st_quantile","_no","_no","_no","_no","_no","_no"," village","_between_40_60","_Primary","_yes","_no","_no","_no","_yes","_yes"
"228","0","male","_medium","_no","_married","_no","_overweight","_4th_quantile","_yes","_no","_no","_no","_no","_yes"," city more than 500 thou.","_between_40_60","_middle","_yes","_yes","_yes","_no","_yes","_yes"
"229","0","female","_medium","_no","_married","_no","_normal_weight","_1st_quantile","_yes","_no","_no","_no","_no","_no"," city more than 500 thou.","_between_40_60","_middle","_yes","_no","_no","_no","_yes","_yes"
"265","1","female","_many","_no","_married","_no","_normal_weight","_2nd_quantile","_no","_no","_no","_no","_no","_no"," city more than 500 thou.","_above_60","_Primary","_no","_no","_no","_no","_yes","_yes"
"312","0","female","_medium","_no","_divorced/separated/widowed","_yes","_overweight","_4th_quantile","_no","_no","_yes","_no","_no","_no"," city more than 500 thou.","_above_60","_Higher","_no","_no","_no","_no","_no","_yes"
"362","1","male","_many","_yes","_married","_no","obesity","_3rd_quantile","_yes","_no","_yes","_no","_no","_yes"," village","_below_40","_middle","_no","_yes","_yes","_yes","_yes","_yes"
"363","0","female","_small","_no","_single","_no","_underweight","_2nd_quantile","_yes","_no","_yes","_no","_no","_yes"," village","_below_40","_middle","_no","_no","_no","_no","_no","_yes"
